,Code,Genus,Species,Subspecies,Authority / Year
101,BAT102,Rhinopoma ,microphyllum ,,"(Brünnich, 1782)"
102,BAT103,Rhinopoma ,muscatellum ,,"Thomas, 1903"
103,BAT104,Rousettus ,aegyptiacus ,,"(E. Geoffroy, 1810)"
104,BAT105,Rousettus ,leschenaulti ,,"(Desmarest, 1820)"
105,BAT106,Scotoecus ,pallidus ,,"(Dobson, 1876)"
106,BAT107,Scotomanes ,ornatus ,,"(Blyth, 1851)"
107,BAT108,Scotophilus ,heathii ,,"Horsfield, 1831"
108,BAT109,Scotophilus ,kuhlii ,,"Leach, 1821"
109,BAT110,Sphaerias ,blanfordi ,,"(Thomas, 1891)"
110,BAT111,Tadarida ,aegyptiaca ,,"(E. Geoffroy, 1818)"
111,BAT112,Tadarida ,plicata ,,"(Buchanan, 1800)"
112,BAT113,Tadarida ,teniotis ,,"(Rafinesque, 1814)"
113,BAT115,Taphozous ,longimanus ,,"Hardwicke, 1825"
114,BAT116,Taphozous ,melanopogon ,,"Temminck, 1841"
115,BAT117,Taphozous ,nudiventris ,,"Cretzschmer, 1830"
116,BAT114,Taphozous ,perforatus ,,"E. Geoffroy, 1818"
117,BAT119,Taphozous ,saccolaimus ,,"Temminck, 1838"
118,BAT120,Taphozous ,theobaldi ,,"Dobson, 1872"
119,BAT118,Triaenops ,persicus ,,"Dobson, 1871"
120,BAT121,Tylonycteris ,pachypus ,,"Temminck, 1840"
121,BAT122,Tylonycteris ,robustula ,,"Thomas, 1915"
122,BAT123,Vespertilio ,murinus ,,"Linnaeus, 1758"
